tortured_phrase,expected_phrase,num_papers
"""surface region"" AND ""surface area""",surface area,"42,682"
"""grouping methods""",classification methods,"31,202"
"""component extraction""",feature extraction,"24,348"
"""information mining""",data mining,"22,898"
"""malignant growth"" AND ""cancer""",cancer,"21,347"
"""neural organization""",neural network,"15,883"
"""bosom"" AND ""breast""",breast,"13,940"
"""test arrangement""",test set,"13,113"
"""feedback processing""",back propagation (BP),"12,040"
"""cadence design""",rythm pattern (?),"11,384"
"""image acknowledgment""",image recognition,"10,581"
"""business knowledge"" AND business intelligence",business intelligence (BI),"10,091"
"""brain organization"" AND ""neural network""",neural network,"10,034"
"""professional system""",expert system,"9,765"
"""degree of displacement""",shift,"9,019"
"""picture recognition""",image recognition,"8,798"
"""huge information""",big data,"8,451"
"""into the combination""",into (reaction) mixture,"8,308"
"""include choice""",feature selection,"7,647"
"""image acknowledgement""",image recognition,"6,853"
"""outcomes likewise""",results similarity,"6,813"
"""magnetic cell separation"" NOT ""with MACS""",Magnetic-activated cell sorting (MACS),"6,212"
"""gatherings clustering""~10",clustering,"6,109"
"""sound just""",audio-only,"5,876"
"""discourse knowledge""",speech data,"5,843"
"""atomic composition"" AND ""molecular structure""",molecular structure,"5,659"
"""characterization problems""",classification problems,"5,581"
"""K-closest neighbors""",K-nearest neighbors,"5,563"
"""in the presence of N2""",under nitrogen,"5,495"
"""creation innovations""",production technologies,"5,364"
"""layer yields"" AND ""neural network""",[neural network] layer outputs,"5,314"
"""example acknowledgment""",pattern recognition,"5,268"
"""data gain""",Information Gain (IG),"5,144"
"""corvus corone"" NOT ""corvus corone module for a secured two way""",Crow search algorithm ?,"4,938"
"""discourse data""",speech data,"4,921"
"""objective language""",target language,"4,779"
"""feature choice""",feature selection,"4,631"
"""information picture""",input image,"4,607"
"""resistant reaction""",immune reaction,"4,471"
"""profound learning"" AND ""deep learning""",deep learning,"4,353"
"""preparation information""",training data,"4,343"
"""message-just""",text-only,"4,338"
"""facial expression processing""",facial expression recognition (FER),"4,181"
"""device learning"" AND ""machine learning""",machine learning,"3,967"
"""recognizable proof""",identification,"3,854"
